train,time,position,velocity,maxVelocity
1,8.999999999999984,130.49999999999983,19.00000000000002,20.0
1,9.099999999999984,132.40499999999983,19.100000000000023,20.0
1,9.199999999999983,134.31999999999982,19.200000000000024,20.0
1,9.299999999999983,136.24499999999983,19.300000000000026,20.0
1,9.399999999999983,138.17999999999984,19.400000000000027,20.0
1,9.499999999999982,140.12499999999983,19.50000000000003,20.0
1,9.599999999999982,142.0799999999998,19.60000000000003,20.0
1,9.699999999999982,144.04499999999982,19.70000000000003,20.0
1,9.799999999999981,146.0199999999998,19.800000000000033,20.0
1,9.89999999999998,148.0049999999998,19.900000000000034,20.0
1,9.99999999999998,149.9999999999998,20.0,20.0
1,10.09999999999998,151.9999999999998,20.0,20.0
1,10.19999999999998,153.9999999999998,20.0,20.0
1,10.29999999999998,155.9999999999998,20.0,20.0
1,10.399999999999979,157.9999999999998,20.0,20.0
1,10.499999999999979,159.9999999999998,20.0,20.0
1,10.599999999999978,161.9999999999998,20.0,20.0
1,10.699999999999978,163.9999999999998,20.0,20.0
1,10.799999999999978,165.9999999999998,20.0,20.0
1,10.899999999999977,167.9999999999998,20.0,20.0
1,10.999999999999977,169.9999999999998,20.0,20.0
1,11.099999999999977,171.9999999999998,20.0,20.0
1,11.199999999999976,173.9999999999998,20.0,20.0
1,11.299999999999976,175.9999999999998,20.0,20.0
1,11.399999999999975,177.9999999999998,20.0,20.0
1,11.499999999999975,179.9999999999998,20.0,20.0
1,11.599999999999975,181.9999999999998,20.0,20.0
1,11.699999999999974,183.9999999999998,20.0,20.0
1,11.799999999999974,185.9999999999998,20.0,20.0
1,11.899999999999974,187.9999999999998,20.0,20.0
1,11.999999999999973,189.9999999999998,20.0,20.0
1,12.099999999999973,191.9999999999998,20.0,20.0
1,12.199999999999973,193.9999999999998,20.0,20.0
1,12.299999999999972,195.9999999999998,20.0,20.0
1,12.399999999999972,197.9999999999998,20.0,20.0
1,12.499999999999972,199.9999999999998,20.0,20.0
1,12.599999999999971,201.9999999999998,20.0,20.0
1,12.69999999999997,203.9999999999998,20.0,20.0
1,12.79999999999997,205.9999999999998,20.0,20.0
1,12.89999999999997,207.9999999999998,20.0,20.0
1,12.99999999999997,209.9999999999998,20.0,20.0
1,13.09999999999997,211.9999999999998,20.0,20.0
1,13.199999999999969,213.9999999999998,20.0,20.0
1,13.299999999999969,215.9999999999998,20.0,20.0
1,13.399999999999968,217.9999999999998,20.0,20.0
1,13.499999999999968,219.9999999999998,20.0,20.0
1,13.599999999999968,221.9999999999998,20.0,20.0
1,13.699999999999967,223.9999999999998,20.0,20.0
1,13.799999999999967,225.9999999999998,20.0,20.0
1,13.899999999999967,227.9999999999998,20.0,20.0
1,13.999999999999966,229.9999999999998,20.0,20.0
1,14.099999999999966,231.9999999999998,20.0,20.0
1,14.199999999999966,233.9999999999998,20.0,20.0
1,14.299999999999965,235.9999999999998,20.0,20.0
1,14.399999999999965,237.9999999999998,20.0,20.0
1,14.499999999999964,239.9999999999998,20.0,20.0
1,14.599999999999964,241.9999999999998,20.0,20.0
1,14.699999999999964,243.9999999999998,20.0,20.0
1,14.799999999999963,245.9999999999998,20.0,20.0
1,14.899999999999963,247.9999999999998,20.0,20.0
1,14.999999999999963,249.9999999999998,20.0,20.0
1,15.099999999999962,251.9999999999998,20.0,20.0
1,15.199999999999962,253.9999999999998,20.0,20.0
1,15.299999999999962,255.9999999999998,20.0,20.0
1,15.399999999999961,257.9999999999998,20.0,20.0
1,15.499999999999961,259.9999999999998,20.0,20.0
1,15.59999999999996,261.9999999999998,20.0,20.0
1,15.69999999999996,263.9999999999998,20.0,20.0
1,15.79999999999996,265.9999999999998,20.0,20.0
1,15.89999999999996,267.9999999999998,20.0,20.0
1,15.99999999999996,269.9999999999998,20.0,20.0
1,16.09999999999996,271.9999999999998,20.0,20.0
1,16.19999999999996,273.9996874999998,19.97500000000001,20.0
1,16.29999999999996,275.9921874999998,19.875000000000007,20.0
1,16.399999999999963,277.9746874999998,19.775000000000006,20.0
1,16.499999999999964,279.9471874999998,19.67500000000001,20.0
1,16.599999999999966,281.9096874999998,19.57500000000001,20.0
1,16.699999999999967,283.86218749999983,19.47500000000001,20.0
1,16.79999999999997,285.80468749999983,19.375000000000007,20.0
1,16.89999999999997,287.73718749999983,19.275000000000006,20.0
1,16.99999999999997,289.65968749999985,19.175000000000004,20.0
1,17.099999999999973,291.5721874999998,19.07500000000001,20.0
1,17.199999999999974,293.47468749999985,18.97500000000001,20.0
1,17.299999999999976,295.3671874999999,18.875000000000007,20.0
1,17.399999999999977,297.2496874999999,18.775000000000006,20.0
1,17.49999999999998,299.1221874999999,18.675000000000004,20.0
1,17.59999999999998,300.9846874999999,18.575000000000003,20.0
1,17.69999999999998,302.8371874999999,18.475,20.0
1,17.799999999999983,304.6796874999999,18.375000000000007,20.0
1,17.899999999999984,306.5121874999999,18.275000000000006,20.0
1,17.999999999999986,308.3346874999999,18.175000000000004,20.0
1,18.099999999999987,310.1471874999999,18.075000000000003,20.0
1,18.19999999999999,311.9496874999999,17.97500000000001,20.0
1,18.29999999999999,313.74218749999994,17.875000000000007,20.0
1,18.39999999999999,315.5246874999999,17.775,20.0
1,18.499999999999993,317.29718749999995,17.675000000000004,20.0
1,18.599999999999994,319.05968749999994,17.575000000000003,20.0
1,18.699999999999996,320.81218749999994,17.475,20.0
1,18.799999999999997,322.55468749999994,17.375,20.0
1,18.9,324.28718749999996,17.275,20.0
1,19.0,326.0096874999999,17.175000000000004,20.0
1,19.1,327.72218749999996,17.075000000000003,20.0
1,19.200000000000003,329.42468749999995,16.975,20.0
1,19.300000000000004,331.11718749999994,16.875,20.0
1,19.400000000000006,332.79968749999995,16.775,20.0
1,19.500000000000007,334.47218749999996,16.675000000000004,20.0
1,19.60000000000001,336.1346874999999,16.574999999999996,20.0
1,19.70000000000001,337.78718749999996,16.475,20.0
1,19.80000000000001,339.4296875,16.375,20.0
1,19.900000000000013,341.06218749999994,16.275,20.0
1,20.000000000000014,342.6846875,16.175000000000004,20.0
1,20.100000000000016,344.29718749999995,16.075000000000003,20.0
1,20.200000000000017,345.89968749999997,15.975000000000003,20.0
1,20.30000000000002,347.4921875,15.875000000000004,20.0
1,20.40000000000002,349.0746875,15.775000000000004,20.0
1,20.50000000000002,350.6471875,15.675,20.0
1,20.600000000000023,352.2096875,15.575000000000005,20.0
1,20.700000000000024,353.7621875,15.475000000000001,20.0
1,20.800000000000026,355.3046875,15.375000000000002,20.0
1,20.900000000000027,356.8371875,15.275000000000002,20.0
1,21.00000000000003,358.3596875,15.174999999999999,20.0
1,21.10000000000003,359.8721875,15.075,20.0
1,21.20000000000003,361.375,15.0,20.0
1,21.300000000000033,362.87515638034415,15.0,20.0
1,21.400000000000034,364.37907964736763,15.0,20.0
1,21.500000000000036,365.8918626834379,15.0,20.0
1,21.600000000000037,367.4187449634552,15.0,20.0
1,21.70000000000004,368.96518791318044,15.0,20.0
1,21.80000000000004,370.5369575652987,15.0,20.0
1,21.90000000000004,372.140217332201,15.0,20.0
1,22.000000000000043,373.78163430166376,15.0,20.0
1,22.100000000000044,375.46850327636264,15.0,20.0
1,22.200000000000045,377.20889389826306,15.0,20.0
1,22.300000000000047,379.0118277374073,15.0,20.0
1,22.40000000000005,380.8874943466843,15.0,20.0
1,22.50000000000005,382.84751823364957,15.0,20.0
1,22.60000000000005,384.90529284179,15.0,20.0
1,22.700000000000053,387.0764035195168,15.0,20.0
1,22.800000000000054,389.3791699379066,15.0,20.0
1,22.900000000000055,391.8353508364602,15.0,20.0
1,23.000000000000057,394.471072475617,15.0,20.0
1,23.10000000000006,397.31807027286857,15.0,20.0
1,23.20000000000006,400.41537670714,15.0,20.0
1,23.30000000000006,403.81165790596134,15.0,20.0
1,23.400000000000063,407.56851457976893,15.0,20.0
1,23.500000000000064,411.7652537173649,15.0,20.0
1,23.600000000000065,416.505970178373,15.0,20.0
1,23.700000000000067,421.9303815713973,15.0,20.0
1,23.800000000000068,428.23101011694627,15.0,20.0
1,23.90000000000007,435.6816208108363,15.0,20.0
1,24.00000000000007,444.6868119952095,15.0,20.0
1,24.100000000000072,455.8743290166684,15.0,15.0
1,24.200000000000074,457.3743290166684,15.0,15.0
1,24.300000000000075,458.8743290166684,15.0,15.0
1,24.400000000000077,460.3743290166684,15.0,15.0
1,24.500000000000078,461.8743290166684,15.0,15.0
1,24.60000000000008,463.3743290166684,15.0,15.0
1,24.70000000000008,464.8743290166684,15.0,15.0
1,24.800000000000082,466.3743290166684,15.0,15.0
1,24.900000000000084,467.8743290166684,15.0,15.0
1,25.000000000000085,469.3743290166684,15.0,15.0
1,25.100000000000087,470.8743290166684,15.0,15.0
