HORIZONTAL;;;;;;;;VERTICAL;;;;;
Start Chainage;Finish Chainage;Station Centre Line;Station  number;Length of element (m);Radius (m);Speed (Km/h);;Start Chainage;Finish Chaiange;Length of element (m);Radius (m);Gradient    (%);
;7053;;;;;80;;;;;;;
7053;7163;;;110;3150;80;;;;;;;
7163;7401;;;238;INFINITY;80;;;;;;;
7401;7503;;;101;-3150;80;;;;;;;
7503;7655;;;152;INFINITY;80;;;;;;;
7655;7713;;;58;TRANS;;;;;;;;
7713;7935;;;222;575;80;;;;;;;
7935;7993;;;58;TRANS;;;;;;;;
7993;;;;241;INFINITY;80;;;;;;;
8137;8212;8174;A2;;;;;;;;;;
;8234;;;;;80;;;;;;;
8234;8276;;;42;TRANS;;;;;;;;
8276;8421;;;145;755;80;;;;;;;
8421;8463;;;42;TRANS;;;;;;;;
8463;9225;;;762;INFINITY;80;;;;;;;
9225;9263;;;38;3150;80;;;;;;;
9263;;;;237;INFINITY;80;;;;;;;
9283;9358;9320;A1;;;;;;;;;;
;9500;;;;;80;;;;;;;
9500;9532;;;32;TRANS;;;;;;;;
9532;9620;;;88;-1005;80;;;;;;;
9620;9652;;;32;TRANS;;;;;;;;
9652;9657;;;5;INFINITY;80;;;;;;;
9657;9681;;;24;TRANS;;;;;;;;
9681;9968;;;287;-1505;80;;;;;;;
9968;9992;;;24;TRANS;;;;;;;;
9992;;;;628;INFINITY;80;;;;;;;
10395;10470;10432;ICA;;;;;;;;;;
;10620;;;;;80;;;;;;;
