HORIZONTAL;;;;;;;;VERTICAL;;;;;;
Start Chainage;Finish Chainage;Station Centre Line;Station  number;Length of element (m);Radius (m);Speed (Km/h);;Start Chainage;Finish Chaiange;Length of element (m);Radius (m);Gradient    (%);;
7989;;;;263;INFINITY;80;;13053;13136;83;2000;-;;
8008.5;8083.5;8046;2.4;;;;;13136;13164;28;INFINITY;8.559;;
;8251;;;;;80;;13164;13335;171;-2000;-;;
8251;8276;;;25;TRANS;;;13335;13881;546;INFINITY;0.000;;
8276;8328;;;52;-1505;80;;13881;13951;71;2000;-;;
8328;8353;;;25;TRANS;;;13951;14144;193;INFINITY;3.526;;
8353;8489;;;135;INFINITY;80;;14144;14215;71;-2000;-;;
8489;8533;;;44;TRANS;;;14215;14350;135;INFINITY;0.000;;
8533;8595;;;62;135;50;;14350;14407;57;-2000;-;;
8595;8639;;;44;TRANS;;;14407;14433;26;INFINITY;-2.833;;
8639;8664;;;25;TRANS;;;14433;14566;133;2000;-;;
8664;8834;;;170;-405;55;;14566;15096;531;INFINITY;3.818;;
8834;8859;;;25;TRANS;;;15096;15207;111;-2000;-;;
8859;8954;;;95;INFINITY;80;;15207;15664;456;INFINITY;-1.731;;
8954;8979;;;25;TRANS;;;15664;15765;101;2000;-;;
8979;9195;;;216;505;60;;15765;15809;44;INFINITY;3.311;;
9195;9220;;;25;TRANS;;;15809;15875;66;-2000;-;;
9220;9245;;;25;TRANS;;;15875;16010;135;INFINITY;0.000;;
9245;9343;;;98;-505;60;;16010;16113;103;-2000;-;;
9343;9368;;;25;TRANS;;;16113;16279;166;INFINITY;-5.151;;
9368;9553;;;186;INFINITY;80;;16279;16327;47;2000;-;;
9553;9579;;;26;TRANS;;;16327;16816;489;INFINITY;-2.780;;
9579;9763;;;184;-305;50;;16816;16871;56;2000;-;;
9763;9789;;;26;TRANS;;;16871;17451;579;INFINITY;0.000;;
9789;;;;161;INFINITY;80;;17451;17566;115;-2000;-;;
9809.5;9884.5;9847;IC3;;;;;17566;17589;23;INFINITY;-5.742;;
;9950;;;;;80;;17589;17715;126;2000;-;;
9950;9970;;;20;TRANS;;;17715;17940;225;INFINITY;0.563;;
9970;10014;;;44;705;50;;17940;18026;85;2000;-;;
10014;10034;;;20;TRANS;;;18026;18275;249;INFINITY;4.835;;
10034;10097;;;64;INFINITY;80;;18275;18372;97;-2000;-;;
10097;10127;;;30;TRANS;;;18372;18712;340;INFINITY;0.000;;
10127;10225;;;98;255;50;;18712;18716;5;;-;;
10225;10255;;;30;TRANS;;;18716;18887;171;INFINITY;0.238;;
10255;10807;;;552;INFINITY;80;;18887;19064;177;4500;-;;
10807;10827;;;20;TRANS;;;19064;19344;279;INFINITY;4.171;;
10827;11286;;;458;805;50;;19344;19427;83;-2000;-;;
11286;11306;;;20;TRANS;;;19427;19562;135;INFINITY;0.000;;
11306;;;;160;INFINITY;80;;19562;19692;130;2000;-;;
11347.5;11422.5;11385;3.1;;;;;19692;19722;30;INFINITY;-6.501;;
;11466;;;;;80;;19722;19933;211;2000;-;;
11466;11512;;;46;TRANS;;;19933;20391;458;INFINITY;4.043;;
11512;11680;;;169;-175;50;;20391;20472;81;-2000;-;;
11680;11726;;;46;TRANS;;;20472;20607;135;INFINITY;0.000;;
11726;11746;;;20;INFINITY;80;;20607;20697;90;-2000;-;;
11746;11771;;;25;TRANS;;;20697;20727;30;INFINITY;-4.514;;
11771;11821;;;49;505;60;;20727;20831;104;2000;-;;
11821;11846;;;25;TRANS;;;20831;21114;284;INFINITY;0.667;;
11846;12012;;;166;INFINITY;80;;21114;21257;142;2000;-;;
12012;12034;;;22;TRANS;;;21257;21281;25;INFINITY;7.780;;
12034;12094;;;61;-1005;60;;21281;21437;156;-2000;-;;
12094;12114;;;20;TRANS;;;21437;21838;401;INFINITY;0.000;;
12114;;;;134;INFINITY;80;;21838;21899;61;-2000;-;;
12132.5;12207.5;12170;3.2;;;;;21899;22018;119;INFINITY;-3.056;;
;12249;;;;;80;;22018;22079;61;2000;-;;
12249;12271;;;22;TRANS;;;22079;22194;115;INFINITY;0.000;;
12271;12295;;;24;605;60;;22194;22335;141;2000;-;;
12295;12317;;;22;TRANS;;;22335;22581;246;INFINITY;7.059;;
12317;12422;;;105;INFINITY;80;;22581;22722;141;-2000;-;;
12422;12448;;;26;TRANS;;;22722;22897;175;INFINITY;0.000;;
12448;12591;;;143;-295;50;;22897;22987;90;-2000;-;;
12591;12617;;;26;TRANS;;;22987;23057;70;INFINITY;-4.500;;
12617;12835;;;218;INFINITY;80;;23057;23147;90;2000;-;;
12835;12855;;;20;TRANS;;;23147;23537;390;INFINITY;0.000;;
12855;12886;;;30;1500;80;;23537;23574;37;-2000;-;;
12886;12906;;;20;TRANS;;;23574;24143;569;INFINITY;-1.864;;
12906;12941;;;36;INFINITY;80;;24143;24181;37;2000;-;;
12941;12961;;;20;TRANS;;;24181;24576;396;INFINITY;0.000;;
12961;13040;;;79;-1500;80;;24576;24649;72;2000;-;;
13040;13060;;;20;TRANS;;;24649;24816;167;INFINITY;3.623;;
13060;13152;;;92;INFINITY;80;;24816;24879;63;-5000;-;;
13152;13212;;;60;TRANS;;;24879;25065;185;INFINITY;2.356;;
13212;13291;;;80;70;35;;25065;25112;47;-2000;-;;
13291;13351;;;60;TRANS;;;25112;25247;135;INFINITY;0.000;;
13351;;;;156;INFINITY;80;;25247;25322;75;-2000;-;;
13368.5;13443.5;13406;3.3;;;;;25322;25345;23;INFINITY;-3.764;;
;13507;;;;;80;;25345;25414;69;2000;-;;
13507;13547;;;40;TRANS;;;25414;25562;148;INFINITY;-0.300;;
13547;13600;;;53;-195;50;;25562;25582;20;;-;;
13600;13640;;;40;TRANS;;;25582;25709;127;INFINITY;0.000;;
13640;13705;;;65;TRANS;;;25709;25732;24;;-;;
13705;13920;;;215;450;80;;25732;25908;175;INFINITY;1.182;;
13920;13985;;;65;TRANS;;;25908;25931;24;;-;;
13985;14015;;;30;INFINITY;80;;25931;26332;401;INFINITY;0.000;;
14015;14041;;;26;TRANS;;;26332;26455;123;-2000;-;;
14041;14067;;;26;1250;80;;26455;26524;69;INFINITY;-6.138;;
14067;14093;;;26;TRANS;;;26524;26647;123;2000;-;;
14093;14127;;;34;INFINITY;80;;26647;26927;280;INFINITY;0.000;;
14127;14159;;;32;TRANS;;;26927;27025;98;-2000;-;;
14159;14195;;;36;-1005;80;;27025;27078;53;INFINITY;-4.884;;
14195;14227;;;32;TRANS;;;27078;27157;79;2000;-;;
14227;;;;126;INFINITY;80;;27157;27222;64;INFINITY;-0.930;;
14244.5;14319.5;14282;3.4;;;;;27222;27268;46;5000;-;;
;14353;;;;;80;;27268;27542;274;INFINITY;0.000;;
14353;14399;;;46;TRANS;;;27542;27662;120;-2000;-;;
14399;14425;;;25;295;60;;27662;27717;55;INFINITY;-6.000;;
14425;14471;;;46;TRANS;;;27717;27837;120;2000;-;;
14471;14506;;;35;INFINITY;80;;27837;27962;125;INFINITY;0.000;;
14506;14526;;;20;TRANS;;;27962;28036;74;2000;-;;
14526;14611;;;85;-2000;80;;28036;28078;41;INFINITY;3.719;;
14611;14631;;;20;TRANS;;;28078;28152;74;-2000;-;;
14631;14784;;;153;INFINITY;80;;28152;28287;135;INFINITY;0.000;;
14784;14823;;;39;TRANS;;;28287;28358;71;-2000;-;;
14823;14944;;;122;-800;80;;28358;28398;40;INFINITY;-3.549;;
14944;14983;;;39;TRANS;;;28398;28466;68;2000;-;;
14983;15021;;;38;INFINITY;80;;28466;29572;1106;INFINITY;-0.142;;
15021;15044;;;23;TRANS;;;29572;29633;61;2000;-;;
15044;15225;;;181;-1500;80;;29633;29679;46;INFINITY;2.896;;
15225;15245;;;20;TRANS;;;29679;29737;58;-2000;-;;
15245;15483;;;238;INFINITY;80;;29737;29877;140;INFINITY;0.000;;
15483;15503;;;20;TRANS;;;29877;29951;74;-2000;-;;
15503;15533;;;30;505;55;;29951;29993;41;INFINITY;-3.719;;
15533;15553;;;20;TRANS;;;29993;30067;74;2000;-;;
15553;15585;;;32;TRANS;;;30067;30452;385;INFINITY;0.000;;
15585;15623;;;38;-250;50;;30452;30585;133;2000;-;;
15623;15655;;;32;TRANS;;;30585;30660;75;INFINITY;6.667;;
15655;15800;;;145;INFINITY;80;;30660;30827;167;-2500;-;;
15800;15832;;;32;TRANS;;;30827;31374;547;INFINITY;0.000;;
15832;15857;;;25;-250;50;;;;;;;;
15857;15889;;;32;TRANS;;;;;;;;;
15889;;;;98;INFINITY;80;;;;;;;;
15904.5;15979.5;15942;3.5;;;;;;;;;;;
;15987;;;;;80;;;;;;;;
15987;16039;;;52;TRANS;;;;;;;;;
16039;16107;;;69;147.23;50;;;;;;;;
16107;16159;;;52;TRANS;;;;;;;;;
16159;16179;;;20;TRANS;;;;;;;;;
16179;16308;;;129;-625;50;;;;;;;;
16308;16324;;;16;TRANS;;;;;;;;;
16324;16361;;;37;TRANS;;;;;;;;;
16361;16638;;;277;275;50;;;;;;;;
16638;16666;;;28;TRANS;;;;;;;;;
16666;16878;;;212;INFINITY;80;;;;;;;;
16878;16912;;;34;TRANS;;;;;;;;;
16912;16956;;;44;192.771;50;;;;;;;;
16956;16990;;;34;TRANS;;;;;;;;;
16990;;;;113;INFINITY;80;;;;;;;;
17004.5;17079.5;17042;IC4;;;;;;;;;;;
;17103;;;;;80;;;;;;;;
